obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""416.728""","=""416.7325+""","=""5d*""","=""""",,"=""85846.7046""","=""109836.15""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""416.728""","=""416.7217+""","=""5d*""","=""""",,"=""85846.7046""","=""109836.77""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""417.283""","=""417.27814+""","=""3""","=""""",,"=""85191.6166""","=""109149.694""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""418.44726""","=""418.44705+""","=""20""","=""""",,"=""85191.6166""","=""109082.770""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L7350""",
"=""426.32856""","=""426.32856+""","=""20""","=""""",,"=""85846.7046""","=""109296.1917""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).8p""","=""2[1/2]""","=""0""",,"=""""","=""L11281""",
"=""427.396943""","=""427.39694+""","=""1000""","=""1.99e-02""",C+,"=""79971.7417""","=""103362.6124""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",,"=""T3408n,T7199,T3378""","=""L11281""",
"=""428.296734""","=""428.29673+""","=""100""","=""1.77e-03""",C+,"=""79971.7417""","=""103313.4726""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",,"=""T3952n,T3378""","=""L11281""",
"=""428.648687""","=""428.64868+""","=""40""","=""1.00e-02""",C,"=""85191.6166""","=""108514.1824""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""",,"=""T3952n,T3408,T7199""","=""L11281""",
"=""428.802""","=""428.80153+""","=""5""","=""""",,"=""85846.7046""","=""109160.957""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).8p""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""429.264""","=""429.26402+""","=""6""","=""""",,"=""85191.6166""","=""108480.751""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""430.048652""","=""430.04865+""","=""50""","=""5.33e-03""",C,"=""85191.6166""","=""108438.2603""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",,"=""T3952n,T3408,T7199""","=""L11281""",
"=""430.24455""","=""430.24444+""","=""10""","=""""",,"=""85846.7046""","=""109082.770""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L7350""",
"=""431.85524""","=""431.85519+""","=""400""","=""5.13e-03""",C,"=""79971.7417""","=""103121.1419""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""",,"=""T3952n,T3378,T9012""","=""L4054""",
