obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""332.997""","=""""","=""1.45e-04""",D,"=""99681.309""","=""129703.0""","=""2s2.2p3.(4S*).4p""","=""3P""","=""0""","=""2s2.2p3.(2D*<5/2>).4d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""333.054""","=""""","=""2.01e-04""",D,"=""99680.968""","=""129697.5""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<5/2>).4d""","=""3D*""","=""2""",,"=""T5803""","=""""",
"=""""","=""333.055""","=""""","=""6.72e-05""",D,"=""99681.049""","=""129697.5""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<5/2>).4d""","=""3D*""","=""2""",,"=""T5803""","=""""",
"=""""","=""333.113""","=""""","=""2.81e-04""",D,"=""99681.049""","=""129692.3""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<5/2>).4d""","=""3D*""","=""3""",,"=""T5803""","=""""",
"=""""","=""369.2356""","=""""","=""9.30e-04""",D,"=""76794.978""","=""103870.252""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).5p""","=""3P""","=""0""",,"=""T5713LS""","=""""",
"=""""","=""369.2386""","=""""","=""9.30e-04""",C,"=""76794.978""","=""103870.028""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).5p""","=""3P""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""369.2395""","=""""","=""9.30e-04""",C,"=""76794.978""","=""103869.968""","=""2s2.2p3.(4S*).3s""","=""3S*""","=""1""","=""2s2.2p3.(4S*).5p""","=""3P""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""382.2577""","=""""","=""1.17e-03""",C,"=""101135.407""","=""127288.349""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2P*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
"=""382.341""","=""382.3414""","=""120""","=""6.63e-03""",C+,"=""101135.407""","=""127282.626""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2P*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""L3760""",
"=""""","=""382.3868""","=""""","=""1.87e-03""",C,"=""101147.526""","=""127291.638""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""382.4349""","=""""","=""5.19e-03""",C+,"=""101147.526""","=""127288.349""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""382.5023""","=""""","=""5.59e-03""",C+,"=""101155.422""","=""127291.638""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2P*).3p""","=""3D""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""382.5187""","=""""","=""8.31e-04""",C,"=""101147.526""","=""127282.626""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""3D""","=""3""",,"=""T5713LS""","=""""",
"=""""","=""382.5505""","=""""","=""1.12e-03""",C,"=""101155.422""","=""127288.349""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""","=""2s2.2p3.(2P*).3p""","=""3D""","=""2""",,"=""T5713LS""","=""""",
"=""""","=""385.5014""","=""""","=""1.63e-02""",B,"=""102662.026""","=""128594.916""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""1D""","=""2""",,"=""T5713""","=""""",
"=""394.729""","=""394.7295""","=""185""","=""4.91e-03""",B,"=""73768.200""","=""99094.837""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).4p""","=""5P""","=""3""",,"=""T5803,LS""","=""L3760""",
"=""394.748""","=""394.7481""","=""160""","=""4.88e-03""",B,"=""73768.200""","=""99093.641""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).4p""","=""5P""","=""2""",,"=""T5803,LS""","=""L3760""",
"=""394.759""","=""394.7586""","=""140""","=""4.87e-03""",B,"=""73768.200""","=""99092.968""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""","=""2s2.2p3.(4S*).4p""","=""5P""","=""1""",,"=""T5803,LS""","=""L3760""",
"=""""","=""395.1928""","=""""","=""3.10e-03""",C,"=""88630.587""","=""113927.534""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""",,"=""T5713LS""","=""""",
"=""""","=""395.2888""","=""""","=""7.74e-04""",C,"=""88630.587""","=""113921.391""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""395.2975""","=""""","=""1.29e-03""",C,"=""88631.146""","=""113921.391""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""395.3000""","=""""","=""1.03e-03""",C,"=""88631.303""","=""113921.391""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",,"=""T5713LS""","=""""",
"=""""","=""395.4519""","=""""","=""7.73e-04""",C,"=""88630.587""","=""113910.957""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",,"=""T5713LS""","=""""",
"=""395.461""","=""395.4607""","=""100""","=""2.32e-03""",C+,"=""88631.146""","=""113910.957""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",,"=""T5713LS""","=""L3760""",
"=""""","=""399.7953""","=""""","=""2.41e-02""",B,"=""102662.026""","=""127667.754""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2P*).3p""","=""1P""","=""1""",,"=""T5713""","=""""",
"=""""","=""405.477""","=""""","=""2.72e-03""",C+,"=""99680.968""","=""124336.3""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<3/2>).3d""","=""3S*""","=""1""",,"=""T5803""","=""""",
"=""""","=""405.479""","=""""","=""4.56e-03""",B,"=""99681.049""","=""124336.3""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<3/2>).3d""","=""3S*""","=""1""",,"=""T5803""","=""""",
"=""""","=""405.483""","=""""","=""9.05e-04""",C,"=""99681.309""","=""124336.3""","=""2s2.2p3.(4S*).4p""","=""3P""","=""0""","=""2s2.2p3.(2D*<3/2>).3d""","=""3S*""","=""1""",,"=""T5803""","=""""",
"=""""","=""406.670""","=""""","=""9.60e-04""",C,"=""99680.968""","=""124264.0""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<5/2>).3d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""406.671""","=""""","=""6.43e-05""",D,"=""99681.049""","=""124264.0""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<5/2>).3d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""406.675""","=""""","=""1.28e-03""",C,"=""99681.309""","=""124264.0""","=""2s2.2p3.(4S*).4p""","=""3P""","=""0""","=""2s2.2p3.(2D*<5/2>).3d""","=""3D*""","=""1""",,"=""T5803""","=""""",
"=""""","=""406.774""","=""""","=""1.74e-03""",C+,"=""99680.968""","=""124257.7""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<5/2>).3d""","=""3D*""","=""2""",,"=""T5803""","=""""",
"=""""","=""406.775""","=""""","=""5.84e-04""",C,"=""99681.049""","=""124257.7""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<5/2>).3d""","=""3D*""","=""2""",,"=""T5803""","=""""",
"=""""","=""406.951""","=""""","=""2.35e-03""",C+,"=""99681.049""","=""124247.1""","=""2s2.2p3.(4S*).4p""","=""3P""","=""2""","=""2s2.2p3.(2D*<5/2>).3d""","=""3D*""","=""3""",,"=""T5803""","=""""",
"=""""","=""421.7088""","=""""","=""5.44e-03""",C,"=""99680.968""","=""123387.339""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(2D*<3/2>).3d""","=""3P*""","=""0""",,"=""T5713LS""","=""""",
