obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""556.4265""","=""""","=""1.21e-02""",C,"=""94830.890""","=""112797.725""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""7/2""",,"=""u18,LS""","=""""",
"=""""","=""556.4265""","=""""","=""1.06e-02""",C,"=""94793.490""","=""112760.325""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""556.4377""","=""""","=""3.96e-03""",C,"=""94793.490""","=""112759.966""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""557.5872""","=""""","=""3.42e-03""",C,"=""94830.890""","=""112760.325""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""557.5984""","=""""","=""2.81e-04""",D+,"=""94830.890""","=""112759.966""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
"=""""","=""558.0083""","=""""","=""2.00e-03""",C,"=""94881.820""","=""112797.725""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""7/2""",,"=""u18,LS""","=""""",
"=""""","=""559.1756""","=""""","=""1.35e-04""",D+,"=""94881.820""","=""112760.325""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
"=""""","=""571.314""","=""""","=""8.94e-04""",D+,"=""96750.840""","=""114249.5""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
"=""""","=""572.935""","=""""","=""8.87e-04""",D+,"=""96750.840""","=""114200.0""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
"=""""","=""573.211""","=""""","=""8.85e-04""",D+,"=""96750.840""","=""114191.6""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
